Classes: 11
[name:ActionMailer, file:null, step:Then ]
[name:Block, file:diaspora_diaspora\app\models\block.rb, step:When ]
[name:BlocksController, file:diaspora_diaspora\app\controllers\blocks_controller.rb, step:When ]
[name:FactoryGirl, file:null, step:Given ]
[name:Hash, file:null, step:When ]
[name:InvitationCode, file:diaspora_diaspora\app\models\invitation_code.rb, step:When ]
[name:Request, file:diaspora_diaspora\lib\diaspora\federated\request.rb, step:When ]
[name:User, file:diaspora_diaspora\app\models\user.rb, step:Given ]
[name:User, file:diaspora_diaspora\app\models\user.rb, step:When ]
[name:UsersController, file:diaspora_diaspora\app\controllers\admin\users_controller.rb, step:When ]
[name:UsersController, file:diaspora_diaspora\app\controllers\users_controller.rb, step:When ]

Methods: 154
[name:accept, type:Object, file:null, step:When ]
[name:activity, type:StreamsController, file:diaspora_diaspora\app\controllers\streams_controller.rb, step:When ]
[name:add_standard_aspects, type:UserCukeHelpers, file:diaspora_diaspora\features\support\user_cuke_helpers.rb, step:Given ]
[name:alert, type:Object, file:null, step:When ]
[name:all, type:Object, file:null, step:When ]
[name:append_to_publisher, type:PublishingCukeHelpers, file:diaspora_diaspora\features\support\publishing_cuke_helpers.rb, step:When ]
[name:append_to_publisher, type:PublishingCukeHelpers, file:diaspora_diaspora\features\support\publishing_cuke_helpers.rb, step:Given ]
[name:aspects, type:Object, file:null, step:Given ]
[name:aspects, type:StreamsController, file:diaspora_diaspora\app\controllers\streams_controller.rb, step:Given ]
[name:aspects, type:UserPresenter, file:diaspora_diaspora\app\presenters\user_presenter.rb, step:Given ]
[name:aspects, type:Aspect, file:diaspora_diaspora\lib\stream\aspect.rb, step:Given ]
[name:aspects, type:Base, file:diaspora_diaspora\lib\stream\base.rb, step:Given ]
[name:aspects, type:User, file:diaspora_diaspora\app\models\user.rb, step:Given ]
[name:aspects, type:Object, file:null, step:When ]
[name:automatic_login, type:UserCukeHelpers, file:diaspora_diaspora\features\support\user_cuke_helpers.rb, step:Given ]
[name:automatic_login, type:UserCukeHelpers, file:diaspora_diaspora\features\support\user_cuke_helpers.rb, step:When ]
[name:base, type:Object, file:null, step:When ]
[name:be_nil, type:Object, file:null, step:Then ]
[name:browser, type:Object, file:null, step:When ]
[name:btn, type:Object, file:null, step:When ]
[name:btn btn-block, type:Object, file:null, step:When ]
[name:btn btn-danger, type:Object, file:null, step:When ]
[name:button, type:Object, file:null, step:When ]
[name:click, type:Object, file:null, step:When ]
[name:click_and_post, type:PublishingCukeHelpers, file:diaspora_diaspora\features\support\publishing_cuke_helpers.rb, step:When ]
[name:click_aspect_dropdown, type:AspectsSteps, file:diaspora_diaspora\features\step_definitions\aspects_steps.rb, step:When ]
[name:click_button, type:Object, file:null, step:Given ]
[name:click_button, type:Object, file:null, step:When ]
[name:click_link, type:Object, file:null, step:When ]
[name:click_publisher, type:PublishingCukeHelpers, file:diaspora_diaspora\features\support\publishing_cuke_helpers.rb, step:When ]
[name:confirm_login, type:UserCukeHelpers, file:diaspora_diaspora\features\support\user_cuke_helpers.rb, step:Given ]
[name:confirm_login, type:UserCukeHelpers, file:diaspora_diaspora\features\support\user_cuke_helpers.rb, step:When ]
[name:connect_users, type:Object, file:null, step:Given ]
[name:contact_for, type:Querying, file:diaspora_diaspora\app\models\user\querying.rb, step:Given ]
[name:create, type:Object, file:null, step:Given ]
[name:create!, type:Generator, file:diaspora_diaspora\lib\federated\generator.rb, step:Given ]
[name:create_user, type:UserCukeHelpers, file:diaspora_diaspora\features\support\user_cuke_helpers.rb, step:Given ]
[name:create_user, type:Object, file:null, step:Given ]
[name:current_scope, type:Object, file:null, step:Then ]
[name:current_scope, type:Object, file:null, step:When ]
[name:delete, type:Object, file:null, step:When ]
[name:delete_all_visible_cookies, type:Object, file:null, step:When ]
[name:delete_cookie, type:Object, file:null, step:When ]
[name:deliveries, type:Base, file:diaspora_diaspora\app\mailers\notification_mailers\base.rb, step:Then ]
[name:deliveries, type:Base, file:diaspora_diaspora\app\workers\base.rb, step:Then ]
[name:deliveries, type:Base, file:diaspora_diaspora\lib\diaspora\federated\base.rb, step:Then ]
[name:deliveries, type:Base, file:diaspora_diaspora\lib\stream\base.rb, step:Then ]
[name:diaspora_handle, type:Object, file:null, step:When ]
[name:down, type:Object, file:null, step:When ]
[name:driver, type:Object, file:null, step:When ]
[name:each, type:Object, file:null, step:Given ]
[name:each, type:Object, file:null, step:Then ]
[name:edit, type:ProfilesController, file:diaspora_diaspora\app\controllers\profiles_controller.rb, step:When ]
