Classes: 44
[name:Array, file:null, step:Given ]
[name:CHILD_SCORE_PANEL_SELECTOR, file:null, step:Then ]
[name:CHILD_SUMMARY_PANEL_SELECTOR, file:null, step:Then ]
[name:Capybara, file:null, step:When ]
[name:Capybara, file:null, step:Then ]
[name:Capybara, file:null, step:Given ]
[name:Child, file:rapidftr_RapidFTR\app\models\child.rb, step:Given ]
[name:Child, file:rapidftr_RapidFTR\app\models\child.rb, step:When ]
[name:Child, file:rapidftr_RapidFTR\app\models\child.rb, step:Then ]
[name:DataPopulator, file:rapidftr_RapidFTR\features\support\data_populator.rb, step:Given ]
[name:DataPopulator, file:rapidftr_RapidFTR\features\support\data_populator.rb, step:When ]
[name:DateTime, file:null, step:Given ]
[name:Device, file:rapidftr_RapidFTR\app\models\device.rb, step:Given ]
[name:Enquiry, file:rapidftr_RapidFTR\app\models\enquiry.rb, step:Given ]
[name:Enquiry, file:rapidftr_RapidFTR\app\models\enquiry.rb, step:Then ]
[name:EntityListPage, file:rapidftr_RapidFTR\features\support\pages\entity_list_page.rb, step:Then ]
[name:FactoryGirl, file:null, step:Given ]
[name:Field, file:rapidftr_RapidFTR\app\models\field.rb, step:When ]
[name:Field, file:rapidftr_RapidFTR\app\models\field.rb, step:Given ]
[name:Form, file:rapidftr_RapidFTR\app\models\form.rb, step:When ]
[name:Form, file:rapidftr_RapidFTR\app\models\form.rb, step:Given ]
[name:FormSection, file:rapidftr_RapidFTR\app\models\form_section.rb, step:When ]
[name:FormSection, file:rapidftr_RapidFTR\app\models\form_section.rb, step:Given ]
[name:FormSectionEditPage, file:rapidftr_RapidFTR\features\support\pages\form_section_edit_page.rb, step:When ]
[name:FormSectionPage, file:rapidftr_RapidFTR\features\support\pages\form_section_page.rb, step:Then ]
[name:HighlightFieldsPage, file:rapidftr_RapidFTR\features\support\pages\highlight_fields_page.rb, step:Given ]
[name:I18n, file:null, step:Given ]
[name:I18n, file:null, step:Then ]
[name:LoginPage, file:rapidftr_RapidFTR\features\support\pages\login_page.rb, step:When ]
[name:Permission, file:rapidftr_RapidFTR\app\models\permission.rb, step:Given ]
[name:Permission, file:rapidftr_RapidFTR\app\models\permission.rb, step:When ]
[name:Photo, file:rapidftr_RapidFTR\spec\support\matchers\photo.rb, step:Given ]
[name:Rails, file:null, step:When ]
[name:Replication, file:rapidftr_RapidFTR\app\models\replication.rb, step:When ]
[name:Report, file:rapidftr_RapidFTR\app\models\report.rb, step:When ]
[name:Role, file:rapidftr_RapidFTR\app\models\role.rb, step:Given ]
[name:Role, file:rapidftr_RapidFTR\app\models\role.rb, step:When ]
[name:Session, file:rapidftr_RapidFTR\app\models\session.rb, step:When ]
[name:Session, file:rapidftr_RapidFTR\app\models\session.rb, step:Then ]
[name:Session, file:rapidftr_RapidFTR\app\models\session.rb, step:Given ]
[name:Spec, file:null, step:Then ]
[name:SystemVariable, file:rapidftr_RapidFTR\app\models\system_variable.rb, step:Given ]
[name:User, file:rapidftr_RapidFTR\app\models\user.rb, step:Given ]
[name:User, file:rapidftr_RapidFTR\app\models\user.rb, step:When ]

Methods: 286
[name:all, type:ChildIdsController, file:rapidftr_RapidFTR\app\controllers\child_ids_controller.rb, step:When ]
[name:all, type:Enquiry, file:rapidftr_RapidFTR\app\models\enquiry.rb, step:Then ]
[name:all, type:ChildIdsController, file:rapidftr_RapidFTR\app\controllers\child_ids_controller.rb, step:Then ]
[name:all, type:Permission, file:rapidftr_RapidFTR\app\models\permission.rb, step:Then ]
[name:all, type:Object, file:null, step:Then ]
[name:all_permissions, type:Permission, file:rapidftr_RapidFTR\app\models\permission.rb, step:Given ]
[name:all_searchable_fields, type:FormSection, file:rapidftr_RapidFTR\app\models\form_section.rb, step:When ]
[name:attach_file, type:Object, file:null, step:When ]
[name:attach_file, type:Object, file:null, step:Given ]
[name:be_checked, type:Object, file:null, step:Then ]
[name:be_nil, type:Object, file:null, step:Given ]
[name:be_nil, type:Object, file:null, step:Then ]
[name:body, type:Object, file:null, step:Then ]
[name:btn_submit, type:Object, file:null, step:When ]
[name:by_name, type:Child, file:rapidftr_RapidFTR\app\models\child.rb, step:When ]
[name:by_name, type:Form, file:rapidftr_RapidFTR\app\models\form.rb, step:When ]
[name:by_user_name, type:User, file:rapidftr_RapidFTR\app\models\user.rb, step:When ]
[name:call, type:Object, file:null, step:When ]
[name:change_password, type:UsersController, file:rapidftr_RapidFTR\app\controllers\users_controller.rb, step:When ]
[name:check, type:Object, file:null, step:When ]
[name:check_link, type:PhotoThumbnailSteps, file:rapidftr_RapidFTR\features\step_definitions\photo_thumbnail_steps.rb, step:Then ]
[name:checked?, type:Object, file:null, step:When ]
[name:child_defaults, type:ChildrenSetupSteps, file:rapidftr_RapidFTR\features\step_definitions\children_setup_steps.rb, step:Given ]
[name:child_list_page, type:ChildrenListingSteps, file:rapidftr_RapidFTR\features\step_definitions\children_listing_steps.rb, step:Then ]
[name:class, type:Object, file:null, step:When ]
[name:class, type:Object, file:null, step:Then ]
[name:click, type:Object, file:null, step:Then ]
[name:click, type:Object, file:null, step:Given ]
[name:click, type:Object, file:null, step:When ]
[name:click_button, type:Object, file:null, step:When ]
[name:click_link, type:Object, file:null, step:Given ]
[name:click_link, type:Object, file:null, step:Then ]
[name:click_link, type:Object, file:null, step:When ]
[name:count, type:Object, file:null, step:Then ]
[name:create, type:Role, file:rapidftr_RapidFTR\app\models\role.rb, step:Given ]
[name:create, type:Form, file:rapidftr_RapidFTR\app\models\form.rb, step:Given ]
[name:create, type:SystemVariable, file:rapidftr_RapidFTR\app\models\system_variable.rb, step:Given ]
[name:create_account, type:DataPopulator, file:rapidftr_RapidFTR\features\support\data_populator.rb, step:Given ]
[name:create_account, type:DataPopulator, file:rapidftr_RapidFTR\features\support\data_populator.rb, step:When ]
[name:create_admin, type:DataPopulator, file:rapidftr_RapidFTR\features\support\data_populator.rb, step:When ]
[name:create_admin, type:DataPopulator, file:rapidftr_RapidFTR\features\support\data_populator.rb, step:Given ]
[name:create_child, type:ChildrenSetupSteps, file:rapidftr_RapidFTR\features\step_definitions\children_setup_steps.rb, step:Given ]
[name:create_enquiry, type:EnquirySetupSteps, file:rapidftr_RapidFTR\features\step_definitions\enquiry_setup_steps.rb, step:Given ]
[name:create_registration_worker, type:DataPopulator, file:rapidftr_RapidFTR\features\support\data_populator.rb, step:Given ]
