Classes: 31
[name:ActionMailer, file:null, step:Then ]
[name:ActionMailer, file:null, step:When ]
[name:Ast, file:null, step:Given ]
[name:CONFIG, file:null, step:Given ]
[name:Cucumber, file:null, step:Given ]
[name:Deposit, file:tip4commit_tip4commit\app\models\deposit.rb, step:Given ]
[name:Deposit, file:tip4commit_tip4commit\spec\factories\deposit.rb, step:Given ]
[name:Deposit, file:tip4commit_tip4commit\app\models\deposit.rb, step:When ]
[name:Deposit, file:tip4commit_tip4commit\spec\factories\deposit.rb, step:When ]
[name:Devise, file:tip4commit_tip4commit\config\initializers\devise.rb, step:Given ]
[name:Digest, file:null, step:Given ]
[name:Hash, file:null, step:When ]
[name:OmniAuth, file:null, step:Given ]
[name:OmniAuth, file:null, step:When ]
[name:Project, file:tip4commit_tip4commit\app\models\project.rb, step:Given ]
[name:Project, file:tip4commit_tip4commit\spec\factories\project.rb, step:Given ]
[name:Project, file:tip4commit_tip4commit\app\models\project.rb, step:When ]
[name:Project, file:tip4commit_tip4commit\spec\factories\project.rb, step:When ]
[name:SecureRandom, file:null, step:Given ]
[name:Sendmany, file:tip4commit_tip4commit\app\models\sendmany.rb, step:When ]
[name:Sendmany, file:tip4commit_tip4commit\spec\factories\sendmany.rb, step:When ]
[name:Tip, file:tip4commit_tip4commit\app\models\tip.rb, step:Then ]
[name:Tip, file:tip4commit_tip4commit\spec\factories\tip.rb, step:Then ]
[name:Tip, file:tip4commit_tip4commit\app\models\tip.rb, step:Given ]
[name:Tip, file:tip4commit_tip4commit\spec\factories\tip.rb, step:Given ]
[name:Tip, file:tip4commit_tip4commit\app\models\tip.rb, step:When ]
[name:Tip, file:tip4commit_tip4commit\spec\factories\tip.rb, step:When ]
[name:User, file:tip4commit_tip4commit\app\models\user.rb, step:When ]
[name:User, file:tip4commit_tip4commit\spec\factories\user.rb, step:When ]
[name:User, file:tip4commit_tip4commit\app\models\user.rb, step:Given ]
[name:User, file:tip4commit_tip4commit\spec\factories\user.rb, step:Given ]

Methods: 208
[name:add_new_commit, type:TipsSteps, file:tip4commit_tip4commit\features\step_definitions\tips_steps.rb, step:When ]
[name:add_new_commit, type:TipsSteps, file:tip4commit_tip4commit\features\step_definitions\tips_steps.rb, step:Given ]
[name:all, type:Object, file:null, step:When ]
[name:amount, type:Object, file:null, step:Then ]
[name:amount, type:Object, file:null, step:Given ]
[name:amount, type:Object, file:null, step:When ]
[name:and_return, type:Object, file:null, step:When ]
[name:be_nil, type:Object, file:null, step:Then ]
[name:be_nil, type:Object, file:null, step:When ]
[name:body, type:Object, file:null, step:When ]
[name:browser, type:Object, file:null, step:When ]
[name:browser, type:Object, file:null, step:Then ]
[name:btn btn-default, type:Object, file:null, step:When ]
[name:check, type:Object, file:null, step:When ]
[name:choose, type:Object, file:null, step:When ]
[name:chop!, type:Object, file:null, step:Then ]
[name:clear, type:Object, file:null, step:When ]
[name:click, type:Object, file:null, step:Given ]
[name:click, type:Object, file:null, step:When ]
[name:click_on, type:Object, file:null, step:Given ]
[name:click_on, type:Object, file:null, step:When ]
[name:collaborators, type:Object, file:null, step:When ]
[name:commit, type:Object, file:null, step:When ]
[name:commit, type:Object, file:null, step:Given ]
[name:commit_url, type:Project, file:tip4commit_tip4commit\app\models\project.rb, step:Given ]
[name:commit_url, type:Tip, file:tip4commit_tip4commit\app\models\tip.rb, step:Given ]
[name:commit_url, type:Bitbucket, file:tip4commit_tip4commit\app\services\bitbucket.rb, step:Given ]
[name:commit_url, type:Github, file:tip4commit_tip4commit\app\services\github.rb, step:Given ]
[name:commit_url, type:Project, file:tip4commit_tip4commit\app\models\project.rb, step:When ]
[name:commit_url, type:Tip, file:tip4commit_tip4commit\app\models\tip.rb, step:When ]
[name:commit_url, type:Bitbucket, file:tip4commit_tip4commit\app\services\bitbucket.rb, step:When ]
[name:commit_url, type:Github, file:tip4commit_tip4commit\app\services\github.rb, step:When ]
[name:confirmed?, type:Deposit, file:tip4commit_tip4commit\app\models\deposit.rb, step:Given ]
[name:confirmed?, type:Deposit, file:tip4commit_tip4commit\spec\factories\deposit.rb, step:Given ]
[name:confirmed?, type:Deposit, file:tip4commit_tip4commit\app\models\deposit.rb, step:When ]
[name:confirmed?, type:Deposit, file:tip4commit_tip4commit\spec\factories\deposit.rb, step:When ]
[name:create, type:Object, file:null, step:Given ]
[name:create, type:User, file:tip4commit_tip4commit\app\models\user.rb, step:Given ]
[name:create, type:User, file:tip4commit_tip4commit\spec\factories\user.rb, step:Given ]
[name:create!, type:Project, file:tip4commit_tip4commit\app\models\project.rb, step:Given ]
[name:create!, type:Project, file:tip4commit_tip4commit\spec\factories\project.rb, step:Given ]
[name:create!, type:Deposit, file:tip4commit_tip4commit\app\models\deposit.rb, step:Given ]
[name:create!, type:Deposit, file:tip4commit_tip4commit\spec\factories\deposit.rb, step:Given ]
