"Repository","https://github.com/TracksApp/tracks.git"
"Tasks with empty IReal","0"
"Tasks with no-empty IReal","2"
"Tasks with relevant AST error","0"
"Tasks with AST error of Gherkin files","0"
"Tasks with AST error of StepDef files","0"
"Tasks with AST error of production files","0"
"Tasks with AST error of unit test files","0"
"Tasks with step match error","0"
"Tasks without required gems","0"
"Tasks with changed stepdef","0"
"Tasks with changed Gherkin","2"
"Tasks with implemented Gherkin scenarios","2"
"All invalid tasks","0"
"All valid tasks (Gherkin scenario, no empty IReal, no error)","2"
"Valid tasks, but empty ITest","0"
"Valid tasks, no empty ITest, but zero precision-recall","0"
"Valid tasks, no empty ITest, no zero precision-recall","2"
"Task","Date","#Days","#Commits","Commit_Message","#Devs","#Gherkin_Tests","#Impl_Gherkin_Tests","#StepDef","#Impl_StepDef","Methods_Unknown_Type","#Step_Call","Step_Match_Errors","#Step_Match_Error","AST_Errors","#AST_Errors","Gherkin_AST_Errors","#Gherkin_AST_Errors","Steps_AST_Errors","#Steps_AST_Errors","Renamed_Files","Deleted_Files","NotFound_Views","#Views","#TestI","#TaskI","TestI","TaskI","Precision","Recall","Hashes","Timestamp","Rails","Gems","#Visit_Call","Lost_visit_call","#Views_ITest","#Code_View_Analysis","Code_View_Analysis","Has_Merge","F2"
"57","[08-08-2015, 19-08-2015, 20-08-2015, 21-08-2015]","14","18","[add in bootstrap-sass , Make application.css a SASS file  This is so we can use SASS import directives in it. , Add the ability to conditionally use bootstrap  Elements should be wrapped in the bootstrap class to use this feature , remove old hack to set content type to application/html  This prevents attachments to be seen as something different than html content. For example, message/rfc822 for email was being replaced by application/html causing wrong application to be started on the client. , Fasterer: Use &:symbol is faster  Calling argumentless methods within blocks is slower than using symbol to proc. , fasterer: hash#fetch with block is faster  hash#fetch with block is faster than hash#fetch with second parameter , fasterer: Use attr_reader for reading ivars. , Fasterer: Parallel assignment is slower  Parallel assignment is slower than sequential assignment. Only got the low hanging fruit. There are some functions that have multiple return values. Fixing this needs more refac [TOO_LONG]","3","3","3","0","0","[login, page, find, click, fill_in, click_button, evaluate_script, zero?, loop, page, have_xpath, to, find, value, eq, hashes, create_preference, each, first, be_nil, to_not, create!, projects, within, have_css, to_not, click_link, to, to_i, todos, save!, downto, contexts, where, all, execute_script, first_or_create]","1","","0","","0","","0","","0","","[app\views\integrations\google_gadget.erb]","[/test_login_backdoor, app\views\sidebar\_sidebar.html.erb]","2","27","47","[app\controllers\application_controller.rb, app\controllers\contexts_controller.rb, app\controllers\projects_controller.rb, app\models\context.rb, app\models\dependency.rb, app\models\note.rb, app\models\project.rb, app\models\stats\actions.rb, app\models\stats\contexts.rb, app\models\stats\projects.rb, app\models\stats\tag_cloud.rb, app\models\stats\tag_cloud_query.rb, app\models\stats\totals.rb, app\models\stats\user_stats.rb, app\models\stats\user_tags_query.rb, app\models\tag.rb, app\models\tagging.rb, app\models\todos\calendar.rb, app\models\user.rb, app\views\contexts\show.html.erb, app\views\projects\show.html.erb, lib\is_taggable.rb, lib\tracks\config.rb, app\views\notes\_note_edit_form.html.erb, app\views\notes\_notes_summary.html.erb, app\views\projects\_project_settings_container.html.erb, app\views\shared\_add_new_item_form.html.erb]","[app\controllers\application_controller.rb, app\controllers\contexts_controller.rb, app\controllers\integrations_controller.rb, app\controllers\notes_controller.rb, app\controllers\projects_controller.rb, app\controllers\recurring_todos_controller.rb, app\controllers\stats_controller.rb, app\controllers\todos\todo_create_params_helper.rb, app\controllers\todos_controller.rb, app\helpers\application_helper.rb, app\helpers\projects_helper.rb, app\helpers\stats_helper.rb, app\helpers\todos_helper.rb, app\models\attachment.rb, app\models\message_gateway.rb, app\models\project.rb, app\models\recurring_todos\abstract_recurrence_pattern.rb, app\models\recurring_todos\monthly_recurrence_pattern.rb, app\models\stats\projects.rb, app\models\stats\totals.rb, app\models\tag.rb, app\models\todo.rb, app\models\user.rb, app\views\contexts\_context_form.html.erb, app\views\contexts\_new_context_form.html.erb, app\views\integrations\index.de.html.erb, app\views\integrations\index.en.html.erb, app\views\integrations\index.nl.html.erb, app\views\layouts\application.html.erb, app\views\notes\_note_edit_form.html.erb, app\views\preferences\_date_and_time.html.erb, app\views\projects\_new_project_form.html.erb, app\views\projects\_project_form.html.erb, app\views\projects\done.html.erb, app\views\projects\show.html.erb, app\views\recurring_todos\done.html.erb, app\views\recurring_todos\index.html.erb, app\views\shared\_add_new_item_form.html.erb, app\views\stats\done.html.erb, app\views\todos\_edit_form.html.erb, app\views\todos\_new_multi_todo_form.html.erb, app\views\todos\_new_todo_form.html.erb, app\views\todos\_todo.html.erb, app\views\todos\all_done.html.erb, lib\login_system.rb, lib\todo_from_recurring_todo.rb, lib\tracks\utils.rb]","0.5333333333333333","0.23404255319148937","[565d4ac1a157432b25181a8b795bee2d07a45177, a896576b70793c44ae75fc80a76d471c4d730fe4, 212dd695147077b6aa75da9beb4c559a5bf82e43, f7f10b8a6120ecf893d6a0beb1d2c9ac25943cd3, ddd9c07d3bd2b3245775b09c4731386f980d26f7, 0d224a5fe97bd5de6d841adc3b7801f5197ea188, 9f81e1a5c37db8f6134c8ffd854bc0081663a752, 5092b388feedce31b9f8d5886f4c51ad3ab76779, 405ad5a79f88741b00340bc9e2cc5ef67a1f63a7, d3aa73f783af820f87c2b2f2a74fd2aa3e3e8b27, bb006f98c1a384b9b3913e3ad3d9b46dbdfe54e4, 0602634ae3eaee5a7e0eb2aab50a895b1df0caa8, 209049b0125e2d09da725e8492821ba47b99c0c4, 109a82f9e00f3887ee3c439f27b17c300bf76976, a92824b34dd6c3d664ad9653281dd232e3bf7ba8, dd6b9f0359e46246a19a4c90ff50fd8ae7721943, f62dfac1e47659953de8b42182b08bd4256a8ded, 48c1d7c214d91b799e56be24147b9b727c32f157]","11.988 seconds","4.1.11","[cucumber-rails, simplecov, factory_girl]","3","[]","6","8","[app\controllers\contexts_controller.rb, app\controllers\projects_controller.rb, app\views\contexts\show.html.erb, app\views\notes\_note_edit_form.html.erb, app\views\notes\_notes_summary.html.erb, app\views\projects\_project_settings_container.html.erb, app\views\projects\show.html.erb, app\views\shared\_add_new_item_form.html.erb]","true","0.2558139534883721"
