Classes: 30
[name:Attachment, file:alphagov_whitehall\app\models\attachment.rb, step:When ]
[name:Consultation, file:alphagov_whitehall\app\models\consultation.rb, step:When ]
[name:Consultation, file:alphagov_whitehall\app\models\consultation.rb, step:Then ]
[name:Document, file:alphagov_whitehall\app\models\document.rb, step:When ]
[name:DocumentCollection, file:alphagov_whitehall\app\models\document_collection.rb, step:When ]
[name:DocumentCollection, file:alphagov_whitehall\test\factories\document_collection.rb, step:When ]
[name:DocumentCollection, file:alphagov_whitehall\app\models\document_collection.rb, step:Then ]
[name:DocumentCollection, file:alphagov_whitehall\test\factories\document_collection.rb, step:Then ]
[name:DocumentCollection, file:alphagov_whitehall\app\models\document_collection.rb, step:Given ]
[name:DocumentCollection, file:alphagov_whitehall\test\factories\document_collection.rb, step:Given ]
[name:Edition, file:alphagov_whitehall\app\models\edition.rb, step:Given ]
[name:Edition, file:alphagov_whitehall\app\models\edition.rb, step:When ]
[name:GDS, file:null, step:Given ]
[name:Locale, file:alphagov_whitehall\lib\locale.rb, step:Given ]
[name:Locale, file:alphagov_whitehall\lib\locale.rb, step:When ]
[name:Options, file:alphagov_whitehall\lib\whitehall\document_filter\options.rb, step:When ]
[name:Organisation, file:alphagov_whitehall\app\models\organisation.rb, step:Given ]
[name:Organisation, file:alphagov_whitehall\app\models\organisation.rb, step:When ]
[name:Publication, file:alphagov_whitehall\app\models\publication.rb, step:Given ]
[name:Rails, file:null, step:When ]
[name:THE_DOCUMENT, file:null, step:When ]
[name:THE_DOCUMENT, file:null, step:Then ]
[name:Topic, file:alphagov_whitehall\app\models\topic.rb, step:When ]
[name:TopicalEvent, file:alphagov_whitehall\app\models\topical_event.rb, step:Given ]
[name:User, file:alphagov_whitehall\app\models\user.rb, step:Given ]
[name:WorldLocationNewsPageWorker, file:alphagov_whitehall\app\workers\world_location_news_page_worker.rb, step:Given ]
[name:WorldLocationType, file:alphagov_whitehall\app\models\world_location_type.rb, step:Given ]
[name:WorldwideOrganisation, file:alphagov_whitehall\app\models\worldwide_organisation.rb, step:Given ]
[name:WorldwideOrganisation, file:alphagov_whitehall\app\models\worldwide_organisation.rb, step:When ]
[name:WorldwideOrganisation, file:alphagov_whitehall\app\models\worldwide_organisation.rb, step:Then ]

Methods: 191
[name:add_translation_to_worldwide_organisation, type:WorldwideOrganisationsHelper, file:alphagov_whitehall\features\support\worldwide_organisations_helper.rb, step:When ]
[name:any_instance, type:WorldLocationNewsPageWorker, file:alphagov_whitehall\app\workers\world_location_news_page_worker.rb, step:Given ]
[name:assert_document_is_part_of_document_collection, type:DocumentCollectionHelper, file:alphagov_whitehall\features\support\document_collection_helper.rb, step:Then ]
[name:attach_file, type:Object, file:null, step:When ]
[name:begin_drafting_consultation, type:DocumentHelper, file:alphagov_whitehall\features\support\document_helper.rb, step:When ]
[name:begin_drafting_document, type:DocumentHelper, file:alphagov_whitehall\features\support\document_helper.rb, step:When ]
[name:begin_drafting_document_collection, type:DocumentHelper, file:alphagov_whitehall\features\support\document_helper.rb, step:When ]
[name:body, type:HasCorporateInformationPages, file:alphagov_whitehall\app\models\has_corporate_information_pages.rb, step:Then ]
[name:body, type:CaseStudyPresenter, file:alphagov_whitehall\app\presenters\publishing_api\case_study_presenter.rb, step:Then ]
[name:body, type:ConsultationPresenter, file:alphagov_whitehall\app\presenters\publishing_api\consultation_presenter.rb, step:Then ]
[name:body, type:CorporateInformationPagePresenter, file:alphagov_whitehall\app\presenters\publishing_api\corporate_information_page_presenter.rb, step:Then ]
[name:body, type:DetailedGuidePresenter, file:alphagov_whitehall\app\presenters\publishing_api\detailed_guide_presenter.rb, step:Then ]
[name:body, type:HtmlAttachmentPresenter, file:alphagov_whitehall\app\presenters\publishing_api\html_attachment_presenter.rb, step:Then ]
[name:body, type:NewsArticlePresenter, file:alphagov_whitehall\app\presenters\publishing_api\news_article_presenter.rb, step:Then ]
[name:body, type:PublicationPresenter, file:alphagov_whitehall\app\presenters\publishing_api\publication_presenter.rb, step:Then ]
[name:body, type:SpeechPresenter, file:alphagov_whitehall\app\presenters\publishing_api\speech_presenter.rb, step:Then ]
[name:body, type:TakePartPresenter, file:alphagov_whitehall\app\presenters\publishing_api\take_part_presenter.rb, step:Then ]
[name:body, type:TopicalEventAboutPagePresenter, file:alphagov_whitehall\app\presenters\publishing_api\topical_event_about_page_presenter.rb, step:Then ]
[name:body, type:WorkingGroupPresenter, file:alphagov_whitehall\app\presenters\publishing_api\working_group_presenter.rb, step:Then ]
[name:build, type:Object, file:null, step:Given ]
[name:check, type:Object, file:null, step:When ]
[name:choose, type:Object, file:null, step:When ]
[name:classify, type:Object, file:null, step:Given ]
[name:click, type:Object, file:null, step:When ]
[name:click_button, type:Object, file:null, step:When ]
[name:click_link, type:Object, file:null, step:When ]
[name:click_on, type:Object, file:null, step:When ]
[name:click_on, type:Object, file:null, step:Then ]
[name:code, type:Object, file:null, step:Given ]
[name:constantize, type:Object, file:null, step:Given ]
[name:content_store_has_item, type:Object, file:null, step:Given ]
[name:count, type:Organisation, file:alphagov_whitehall\app\models\organisation.rb, step:When ]
[name:count, type:Topic, file:alphagov_whitehall\app\models\topic.rb, step:When ]
[name:create, type:Object, file:null, step:Given ]
[name:create, type:SpeechType, file:alphagov_whitehall\app\models\speech_type.rb, step:Given ]
[name:create, type:SpeechType, file:alphagov_whitehall\app\models\speech_type.rb, step:When ]
[name:create_org_and_stub_content_store, type:Object, file:null, step:Given ]
[name:current_person, type:Role, file:alphagov_whitehall\app\models\role.rb, step:null]
[name:current_person, type:RolePresenter, file:alphagov_whitehall\app\presenters\role_presenter.rb, step:null]
[name:current_person, type:Role, file:alphagov_whitehall\app\models\role.rb, step:When ]
[name:current_person, type:RolePresenter, file:alphagov_whitehall\app\presenters\role_presenter.rb, step:When ]
[name:delete, type:Options, file:alphagov_whitehall\lib\whitehall\document_filter\options.rb, step:When ]
[name:document, type:Publication, file:alphagov_whitehall\app\models\publication.rb, step:Given ]
[name:document_class, type:DocumentHelper, file:alphagov_whitehall\features\support\document_helper.rb, step:Given ]
[name:edit, type:Admin\consultationsController, file:alphagov_whitehall\app\controllers\admin\consultations_controller.rb, step:When ]
[name:edit, type:Admin\worldwideOrganisationsTranslationsController, file:alphagov_whitehall\app\controllers\admin\worldwide_organisations_translations_controller.rb, step:When ]
[name:edit, type:Admin\worldwideOrganisationsController, file:alphagov_whitehall\app\controllers\admin\worldwide_organisations_controller.rb, step:When ]
[name:edit_translation_for_worldwide_organisation, type:WorldwideOrganisationsHelper, file:alphagov_whitehall\features\support\worldwide_organisations_helper.rb, step:When ]
[name:ensure_path, type:PathHelper, file:alphagov_whitehall\features\support\path_helper.rb, step:When ]
[name:evaluate_script, type:Object, file:null, step:When ]
[name:execute_script, type:Object, file:null, step:When ]
[name:fill_in, type:Object, file:null, step:When ]
[name:fill_in_change_note_if_required, type:DocumentHelper, file:alphagov_whitehall\features\support\document_helper.rb, step:When ]
[name:find, type:CorporateInformationPageType, file:alphagov_whitehall\app\models\corporate_information_page_type.rb, step:When ]
[name:find, type:EmailSignupPagesFinder, file:alphagov_whitehall\app\models\email_signup_pages_finder.rb, step:When ]
[name:find, type:OrganisationBrandColour, file:alphagov_whitehall\app\models\organisation_brand_colour.rb, step:When ]
[name:find, type:OrganisationLogoType, file:alphagov_whitehall\app\models\organisation_logo_type.rb, step:When ]
[name:find, type:Policy, file:alphagov_whitehall\app\models\policy.rb, step:When ]
[name:find, type:Object, file:null, step:When ]
[name:find_by, type:Organisation, file:alphagov_whitehall\app\models\organisation.rb, step:Given ]
[name:find_by, type:Object, file:null, step:When ]
[name:find_by, type:Attachment, file:alphagov_whitehall\app\models\attachment.rb, step:When ]
[name:find_by!, type:DocumentCollection, file:alphagov_whitehall\app\models\document_collection.rb, step:When ]
[name:find_by!, type:DocumentCollection, file:alphagov_whitehall\test\factories\document_collection.rb, step:When ]
[name:find_by!, type:Edition, file:alphagov_whitehall\app\models\edition.rb, step:When ]
[name:find_by!, type:TopicalEvent, file:alphagov_whitehall\app\models\topical_event.rb, step:Given ]
[name:find_by!, type:WorldwideOrganisation, file:alphagov_whitehall\app\models\worldwide_organisation.rb, step:When ]
[name:find_by!, type:WorldwideOrganisation, file:alphagov_whitehall\app\models\worldwide_organisation.rb, step:Then ]
[name:find_by_language_name, type:Locale, file:alphagov_whitehall\lib\locale.rb, step:Given ]
[name:find_field, type:Object, file:null, step:When ]
[name:first, type:Object, file:null, step:Given ]
[name:first, type:Organisation, file:alphagov_whitehall\app\models\organisation.rb, step:When ]
[name:first, type:Topic, file:alphagov_whitehall\app\models\topic.rb, step:When ]
[name:from_now, type:Object, file:null, step:When ]
[name:gsub, type:Object, file:null, step:Given ]
[name:has_content?, type:Object, file:null, step:When ]
[name:has_content?, type:Object, file:null, step:Then ]
[name:has_css?, type:Object, file:null, step:Then ]
[name:has_css?, type:Object, file:null, step:When ]
[name:has_no_content?, type:Object, file:null, step:Then ]
[name:has_no_css?, type:Object, file:null, step:When ]
[name:has_selector?, type:Object, file:null, step:Then ]
[name:humanize, type:Object, file:null, step:When ]
[name:index, type:NotQuiteAsFakeSearch, file:alphagov_whitehall\lib\whitehall\not_quite_as_fake_search.rb, step:Then ]
[name:index, type:Admin\dashboardController, file:alphagov_whitehall\app\controllers\admin\dashboard_controller.rb, step:When ]
[name:index, type:Admin\findInAdminBookmarkletController, file:alphagov_whitehall\app\controllers\admin\find_in_admin_bookmarklet_controller.rb, step:When ]
[name:index, type:Admin\editionsController, file:alphagov_whitehall\app\controllers\admin\editions_controller.rb, step:When ]
