Classes: 57
[name:ActionController, file:null, step:When ]
[name:Attachment, file:alphagov_whitehall\app\models\attachment.rb, step:When ]
[name:Consultation, file:alphagov_whitehall\app\models\consultation.rb, step:When ]
[name:Consultation, file:alphagov_whitehall\app\models\consultation.rb, step:Then ]
[name:Date, file:null, step:When ]
[name:Date, file:null, step:Given ]
[name:Document, file:alphagov_whitehall\app\models\document.rb, step:When ]
[name:DocumentCollection, file:alphagov_whitehall\app\models\document_collection.rb, step:When ]
[name:DocumentCollection, file:alphagov_whitehall\test\factories\document_collection.rb, step:When ]
[name:DocumentCollection, file:alphagov_whitehall\app\models\document_collection.rb, step:Then ]
[name:DocumentCollection, file:alphagov_whitehall\test\factories\document_collection.rb, step:Then ]
[name:DocumentCollection, file:alphagov_whitehall\app\models\document_collection.rb, step:Given ]
[name:DocumentCollection, file:alphagov_whitehall\test\factories\document_collection.rb, step:Given ]
[name:Edition, file:alphagov_whitehall\app\models\edition.rb, step:When ]
[name:Edition, file:alphagov_whitehall\app\models\edition.rb, step:Given ]
[name:EmailAlertApiSignupWorker, file:alphagov_whitehall\app\workers\email_alert_api_signup_worker.rb, step:Given ]
[name:GDS, file:null, step:Given ]
[name:Hash, file:null, step:Given ]
[name:HtmlAttachment, file:alphagov_whitehall\app\models\html_attachment.rb, step:Then ]
[name:I18n, file:alphagov_whitehall\config\initializers\i18n.rb, step:When ]
[name:Locale, file:alphagov_whitehall\lib\locale.rb, step:Given ]
[name:Locale, file:alphagov_whitehall\lib\locale.rb, step:When ]
[name:LocalisedModel, file:alphagov_whitehall\lib\localised_model.rb, step:Given ]
[name:MinisterialRole, file:alphagov_whitehall\app\models\ministerial_role.rb, step:Given ]
[name:NewsArticle, file:alphagov_whitehall\app\models\news_article.rb, step:When ]
[name:NewsArticle, file:alphagov_whitehall\app\models\news_article.rb, step:Then ]
[name:Options, file:alphagov_whitehall\lib\whitehall\document_filter\options.rb, step:When ]
[name:Options, file:alphagov_whitehall\lib\whitehall\document_filter\options.rb, step:Given ]
[name:Organisation, file:alphagov_whitehall\app\models\organisation.rb, step:Given ]
[name:Organisation, file:alphagov_whitehall\app\models\organisation.rb, step:When ]
[name:Person, file:alphagov_whitehall\app\models\person.rb, step:When ]
[name:Person, file:alphagov_whitehall\app\models\person.rb, step:Given ]
[name:Plek, file:null, step:Then ]
[name:Proc, file:null, step:Then ]
[name:Publication, file:alphagov_whitehall\app\models\publication.rb, step:When ]
[name:Publication, file:alphagov_whitehall\app\models\publication.rb, step:Given ]
[name:Rails, file:null, step:When ]
[name:RetrospectiveStub, file:alphagov_whitehall\features\support\retrospective_stub.rb, step:Given ]
[name:Role, file:alphagov_whitehall\app\models\role.rb, step:When ]
[name:Role, file:alphagov_whitehall\app\models\role.rb, step:Given ]
[name:Speech, file:alphagov_whitehall\app\models\speech.rb, step:Then ]
[name:SpeechType, file:alphagov_whitehall\app\models\speech_type.rb, step:When ]
[name:THE_DOCUMENT, file:null, step:When ]
[name:THE_DOCUMENT, file:null, step:Then ]
[name:Topic, file:alphagov_whitehall\app\models\topic.rb, step:When ]
[name:TopicalEvent, file:alphagov_whitehall\app\models\topical_event.rb, step:Given ]
[name:UnsatisfiedAssertion, file:null, step:Then ]
[name:User, file:alphagov_whitehall\app\models\user.rb, step:Given ]
[name:Whitehall, file:alphagov_whitehall\features\support\whitehall.rb, step:Given ]
[name:Whitehall, file:alphagov_whitehall\lib\whitehall.rb, step:Given ]
[name:WorldLocation, file:alphagov_whitehall\app\models\world_location.rb, step:Given ]
[name:WorldLocation, file:alphagov_whitehall\app\models\world_location.rb, step:Then ]
[name:WorldLocationNewsPageWorker, file:alphagov_whitehall\app\workers\world_location_news_page_worker.rb, step:Given ]
[name:WorldLocationType, file:alphagov_whitehall\app\models\world_location_type.rb, step:Given ]
[name:WorldwideOrganisation, file:alphagov_whitehall\app\models\worldwide_organisation.rb, step:Given ]
[name:WorldwideOrganisation, file:alphagov_whitehall\app\models\worldwide_organisation.rb, step:When ]
[name:WorldwideOrganisation, file:alphagov_whitehall\app\models\worldwide_organisation.rb, step:Then ]

Methods: 305
[name:add_translation_to_worldwide_organisation, type:WorldwideOrganisationsHelper, file:alphagov_whitehall\features\support\worldwide_organisations_helper.rb, step:When ]
[name:ago, type:Object, file:null, step:When ]
[name:ago, type:Object, file:null, step:Given ]
[name:all, type:MinisterialRole, file:alphagov_whitehall\app\models\ministerial_role.rb, step:Given ]
[name:announcements_filter_path, type:FilterRoutesHelper, file:alphagov_whitehall\app\helpers\filter_routes_helper.rb, step:null]
[name:announcements_filter_path, type:FilterRoutesHelper, file:alphagov_whitehall\app\helpers\filter_routes_helper.rb, step:When ]
[name:any?, type:Object, file:null, step:Then ]
[name:any_instance, type:WorldLocationNewsPageWorker, file:alphagov_whitehall\app\workers\world_location_news_page_worker.rb, step:Given ]
[name:any_instance, type:EmailAlertApiSignupWorker, file:alphagov_whitehall\app\workers\email_alert_api_signup_worker.rb, step:Given ]
[name:assert_document_is_part_of_document_collection, type:DocumentCollectionHelper, file:alphagov_whitehall\features\support\document_collection_helper.rb, step:Then ]
[name:assert_equal, type:Object, file:null, step:Then ]
[name:assert_method_called, type:RetrospectiveStub, file:alphagov_whitehall\features\support\retrospective_stub.rb, step:Then ]
[name:assert_signed_up_to_mailing_list, type:EmailSignupSteps, file:alphagov_whitehall\features\step_definitions\email_signup_steps.rb, step:Then ]
[name:attach_file, type:Object, file:null, step:When ]
[name:attachable, type:AttachmentsController, file:alphagov_whitehall\app\controllers\admin\attachments_controller.rb, step:Then ]
[name:attachable, type:HtmlAttachmentCheck, file:alphagov_whitehall\lib\sync_checker\formats\html_attachment_check.rb, step:Then ]
[name:begin_drafting_consultation, type:DocumentHelper, file:alphagov_whitehall\features\support\document_helper.rb, step:When ]
[name:begin_drafting_document, type:Object, file:null, step:Given ]
[name:begin_drafting_document, type:DocumentHelper, file:alphagov_whitehall\features\support\document_helper.rb, step:When ]
[name:begin_drafting_document_collection, type:DocumentHelper, file:alphagov_whitehall\features\support\document_helper.rb, step:When ]
[name:begin_drafting_news_article, type:Object, file:null, step:When ]
[name:begin_drafting_publication, type:DocumentHelper, file:alphagov_whitehall\features\support\document_helper.rb, step:Given ]
[name:begin_drafting_speech, type:DocumentHelper, file:alphagov_whitehall\features\support\document_helper.rb, step:When ]
[name:body, type:HasCorporateInformationPages, file:alphagov_whitehall\app\models\has_corporate_information_pages.rb, step:Then ]
[name:body, type:CaseStudyPresenter, file:alphagov_whitehall\app\presenters\publishing_api\case_study_presenter.rb, step:Then ]
[name:body, type:ConsultationPresenter, file:alphagov_whitehall\app\presenters\publishing_api\consultation_presenter.rb, step:Then ]
[name:body, type:CorporateInformationPagePresenter, file:alphagov_whitehall\app\presenters\publishing_api\corporate_information_page_presenter.rb, step:Then ]
[name:body, type:DetailedGuidePresenter, file:alphagov_whitehall\app\presenters\publishing_api\detailed_guide_presenter.rb, step:Then ]
[name:body, type:HtmlAttachmentPresenter, file:alphagov_whitehall\app\presenters\publishing_api\html_attachment_presenter.rb, step:Then ]
[name:body, type:NewsArticlePresenter, file:alphagov_whitehall\app\presenters\publishing_api\news_article_presenter.rb, step:Then ]
[name:body, type:PublicationPresenter, file:alphagov_whitehall\app\presenters\publishing_api\publication_presenter.rb, step:Then ]
[name:body, type:SpeechPresenter, file:alphagov_whitehall\app\presenters\publishing_api\speech_presenter.rb, step:Then ]
[name:body, type:TakePartPresenter, file:alphagov_whitehall\app\presenters\publishing_api\take_part_presenter.rb, step:Then ]
[name:body, type:TopicalEventAboutPagePresenter, file:alphagov_whitehall\app\presenters\publishing_api\topical_event_about_page_presenter.rb, step:Then ]
[name:body, type:WorkingGroupPresenter, file:alphagov_whitehall\app\presenters\publishing_api\working_group_presenter.rb, step:Then ]
[name:build, type:Object, file:null, step:Given ]
[name:call, type:PublishFinder, file:alphagov_whitehall\app\services\publish_finder.rb, step:Then ]
[name:call, type:LongLifeRedirect, file:alphagov_whitehall\lib\long_life_redirect.rb, step:Then ]
[name:call, type:DetailsCheck, file:alphagov_whitehall\lib\sync_checker\checks\details_check.rb, step:Then ]
[name:call, type:HtmlAttachmentUnpublishedCheck, file:alphagov_whitehall\lib\sync_checker\checks\html_attachment_unpublished_check.rb, step:Then ]
[name:call, type:LinksCheck, file:alphagov_whitehall\lib\sync_checker\checks\links_check.rb, step:Then ]
[name:call, type:TopLevelCheck, file:alphagov_whitehall\lib\sync_checker\checks\top_level_check.rb, step:Then ]
