Classes: 23
[name:Attachment, file:alphagov_whitehall\app\models\attachment.rb, step:When ]
[name:Consultation, file:alphagov_whitehall\app\models\consultation.rb, step:Then ]
[name:Consultation, file:alphagov_whitehall\app\models\consultation.rb, step:When ]
[name:ConsultationOutcome, file:alphagov_whitehall\app\models\consultation_outcome.rb, step:Then ]
[name:ConsultationPublicFeedback, file:alphagov_whitehall\app\models\consultation_public_feedback.rb, step:Then ]
[name:DetailedGuide, file:alphagov_whitehall\app\models\detailed_guide.rb, step:Then ]
[name:Document, file:alphagov_whitehall\app\models\document.rb, step:When ]
[name:Edition, file:alphagov_whitehall\app\models\edition.rb, step:Given ]
[name:Edition, file:alphagov_whitehall\app\models\edition.rb, step:When ]
[name:Edition, file:alphagov_whitehall\app\models\edition.rb, step:Then ]
[name:GDS, file:null, step:Given ]
[name:NewsArticle, file:alphagov_whitehall\app\models\news_article.rb, step:Then ]
[name:Options, file:alphagov_whitehall\lib\whitehall\document_filter\options.rb, step:When ]
[name:Organisation, file:alphagov_whitehall\app\models\organisation.rb, step:When ]
[name:Publication, file:alphagov_whitehall\app\models\publication.rb, step:Then ]
[name:Rails, file:null, step:When ]
[name:Speech, file:alphagov_whitehall\app\models\speech.rb, step:Then ]
[name:THE_DOCUMENT, file:null, step:When ]
[name:THE_DOCUMENT, file:null, step:Then ]
[name:Topic, file:alphagov_whitehall\app\models\topic.rb, step:When ]
[name:TopicalEvent, file:alphagov_whitehall\app\models\topical_event.rb, step:Given ]
[name:TopicalEvent, file:alphagov_whitehall\app\models\topical_event.rb, step:Then ]
[name:User, file:alphagov_whitehall\app\models\user.rb, step:Given ]

Methods: 129
[name:attach_file, type:Object, file:null, step:When ]
[name:begin_drafting_consultation, type:DocumentHelper, file:alphagov_whitehall\features\support\document_helper.rb, step:When ]
[name:begin_drafting_document, type:DocumentHelper, file:alphagov_whitehall\features\support\document_helper.rb, step:When ]
[name:choose, type:Object, file:null, step:When ]
[name:classify, type:Object, file:null, step:Given ]
[name:click, type:Object, file:null, step:When ]
[name:click_button, type:Object, file:null, step:When ]
[name:click_link, type:Object, file:null, step:When ]
[name:click_link, type:Object, file:null, step:Then ]
[name:constantize, type:Object, file:null, step:Given ]
[name:count, type:Organisation, file:alphagov_whitehall\app\models\organisation.rb, step:When ]
[name:count, type:Topic, file:alphagov_whitehall\app\models\topic.rb, step:When ]
[name:create, type:Object, file:null, step:Given ]
[name:create, type:SpeechType, file:alphagov_whitehall\app\models\speech_type.rb, step:Given ]
[name:create, type:SpeechType, file:alphagov_whitehall\app\models\speech_type.rb, step:When ]
[name:delete, type:Options, file:alphagov_whitehall\lib\whitehall\document_filter\options.rb, step:When ]
[name:document, type:Edition, file:alphagov_whitehall\app\models\edition.rb, step:Then ]
[name:document, type:FeaturePresenter, file:alphagov_whitehall\app\presenters\feature_presenter.rb, step:When ]
[name:document, type:PolicyTagger, file:alphagov_whitehall\lib\data_hygiene\policy_tagger.rb, step:When ]
[name:document, type:HtmlAttachmentCheck, file:alphagov_whitehall\lib\sync_checker\formats\html_attachment_check.rb, step:When ]
[name:document_class, type:DocumentHelper, file:alphagov_whitehall\features\support\document_helper.rb, step:Given ]
[name:edit, type:Admin\consultationsController, file:alphagov_whitehall\app\controllers\admin\consultations_controller.rb, step:When ]
[name:ensure_path, type:PathHelper, file:alphagov_whitehall\features\support\path_helper.rb, step:When ]
