"Repository","https://github.com/alphagov/whitehall.git"
"Correlation Jaccard Text-Real","0.52"
"Correlation Cosine Text-Real","0.58"
"Task_A","Task_B","Text","Test_Jaccard","Real_Jaccard","Test_Cosine","Real_Cosine"
"571","589","0.9162220633708492","0.6933333333","0.9280821918","0.9041769203259885","0.9810633711214474"
"571","569","0.9495837361039317","0.7181208054","0.1379310345","0.9139542425642216","0.4878048780487804"
"571","793","0.7271367854857507","0.3680981595","0.0501672241","0.716114874039433","0.26915844593314475"
"571","1671","0.6472682071937503","0.1129943503","0.0371900826","0.37151880838356854","0.13511320473331348"
"571","1367","0.6487940593872419","0.0251572327","0.0292207792","0.14886458551295736","0.16943474841747153"
"571","1561","0.45785281445045134","0.0320512821","0.0295081967","0.19055398349167652","0.1765469659009499"
"571","499","0.696393737829041","0.0466666667","0.0430463576","0.2811267651158746","0.236951850387359"
"571","687","0.7557431589553876","0.2039473684","0.2595155709","0.5704179798580922","0.6406922532749176"
"571","1053","0.5372431869694013","0.0466666667","0.0233333333","0.2811267651158746","0.15985651976081278"
"589","569","0.7524015398668531","0.4266666667","0.0931034483","0.7485508114840709","0.37408107969992493"
"589","793","0.6331898867160002","0.3923076923","0.0415224913","0.7252121524492364","0.22981506530222942"
"589","1671","0.5867235544076863","0.1397058824","0.0360169492","0.4121678698554467","0.13091261600214088"
"589","1367","0.6078934657261255","0.0341880342","0.027027027","0.17499145570392283","0.1563600868038149"
"589","1561","0.4423946596389819","0.0438596491","0.0273037543","0.2237186850713415","0.16311252337465149"
"589","499","0.6535487314900367","0.0550458716","0.0378006873","0.2927700218845599","0.21103178186108745"
"589","687","0.8159361351549362","0.2818181818","0.2717391304","0.6520177790913924","0.6524823424355335"
"589","1053","0.5343574403761592","0.0648148148","0.0208333333","0.329252303934259","0.14317199670525443"
"569","793","0.7232689971650298","0.4523809524","0.0625","0.7724598467726547","0.2153527608232662"
"569","1671","0.6350144044948735","0.1294964029","0.0078740157","0.3918138890690035","0.041030496993110906"
"569","1367","0.616594597180546","0.0336134454","0.0289855072","0.17342199390482396","0.10830607221477646"
"569","1561","0.4200283227431917","0.0341880342","0.0625","0.18333969940564224","0.2153527608232662"
"569","499","0.6665603469783935","0.0636363636","0.0952380952","0.3263766828841098","0.30151134457776363"
"569","687","0.6349070388934313","0.1818181818","0.0350877193","0.5111443592620368","0.1318760946791574"
"569","1053","0.4992503743910347","0.0353982301","0.0517241379","0.20965696734438366","0.19069251784911845"
"793","1671","0.46506374745861884","0.1272727273","0.0","0.37393210410033517","0.0"
"793","1367","0.4957013448137114","0.0465116279","0.0","0.20649029316786693","0.0"
"793","1561","0.3015557333298596","0.0864197531","0.0196078431","0.3457053588273563","0.07407407407407407"
"793","499","0.5236953484869039","0.0909090909","0.0","0.3865103412619629","0.0"
"793","687","0.5188374667072135","0.2222222222","0.02","0.5533715710928598","0.08559209850218256"
"793","1053","0.35282590294115274","0.05","0.0","0.24963459176571867","0.0"
"1671","1367","0.49175807122879106","0.0666666667","0.0167364017","0.2521013966653018","0.09432021243765372"
"1671","1561","0.3284119288212635","0.0689655172","0.0169491525","0.26651864186110785","0.09892387336589958"
"1671","499","0.5420636416123356","0.0357142857","0.0083682008","0.1688801323682996","0.050539869571926896"
"1671","687","0.468116961823939","0.2","0.0069444444","0.5039526306789697","0.030816677568068277"
"1671","1053","0.3392347005170463","0.0545454545","0.0043103448","0.24019223070763074","0.030499714066520935"
"1367","1561","0.3328462884936181","0.0","0.0377358491","0.0","0.13576884666042613"
"1367","499","0.5774836721869496","0.0","0.0769230769","0.0","0.25012215979228897"
"1367","687","0.5471595489276546","0.0869565217","0.0096153846","0.293887343348258","0.04161251892882395"
"1367","1053","0.33173771153713955","0.1428571429","0.0666666667","0.4082482904638631","0.2261335084333227"
"1561","499","0.38294183345638494","0.1578947368","0.0392156863","0.43301270189221935","0.1403724812687193"
"1561","687","0.3365571955259062","0.0909090909","0.0303030303","0.31069425495224695","0.12535414694482047"
"1561","1053","0.3257315236492953","0.0","0.0227272727","0.0","0.08606629658238703"
"499","687","0.5293958637328978","0.0731707317","0.0098039216","0.2809757434745082","0.0430730492253948"
"499","1053","0.39319450634426617","0.0","0.0222222222","0.0","0.08451542547285164"
"687","1053","0.4319123383044324","0.1891891892","0.0106382979","0.5400617248673216","0.05096471914376255"
