"REPO_URL","TASK_ID","#HASHES","HASHES","#PROD_FILES","#TEST_FILES","LAST"
"https://github.com/AgileVentures/WebsiteOne.git","38","4","[ed8b66ec891d4c1032907c7dc7fb8ac715f7a35f, 8be819ea99a30fab9ee86b7ad49573bac2a98c0c, 5225583d0c514f7b6a25970189bb886bff51521a, afbbf079b9d807de645765bde5013c7277b1101c]","17","5","afbbf079b9d807de645765bde5013c7277b1101c"
"https://github.com/AgileVentures/WebsiteOne.git","44","3","[06cf34013b4ecd70e05932c7142ebaf746e48937, bdde105ec9a59e4714de16e1a5ecad1482fb7bca, 4756f6fbeb7d8208ed021e10cf28fd4c8f409907]","3","3","4756f6fbeb7d8208ed021e10cf28fd4c8f409907"
"https://github.com/AgileVentures/WebsiteOne.git","52","3","[cc43989d3503f59d84c83e2a7c3696febf85dfd2, 5ef853cc24fc304a7c134dcdc828c565c753c300, ab97ac5cdb05b058e30663a6f306f4d999199f23]","11","4","ab97ac5cdb05b058e30663a6f306f4d999199f23"
"https://github.com/AgileVentures/WebsiteOne.git","68","4","[8c9b56508063aa5b58d9a586c855816c65380849, efa4ca794e84c60620588f275444db44f40631d5, fc28e78c07f5ab55e521fc85892351cadb4a748b, 889538021a01d89026bbb58ebfbe76e64eec2eec]","18","3","889538021a01d89026bbb58ebfbe76e64eec2eec"
"https://github.com/AgileVentures/WebsiteOne.git","70","4","[4455394d3d536447d7bfd33047b796d146dda9ab, 5c71e7b1671e5c22d34eda49084bcbd77f789fe5, 699a91f5e992b6a6b43cb60d883c2e9a63268832, 3bed875c2d15e53774436434aa39b5a47e30075b]","13","4","3bed875c2d15e53774436434aa39b5a47e30075b"
"https://github.com/AgileVentures/WebsiteOne.git","74","1","[4455394d3d536447d7bfd33047b796d146dda9ab]","11","3","4455394d3d536447d7bfd33047b796d146dda9ab"
"https://github.com/AgileVentures/WebsiteOne.git","80","9","[f5d253cfe254a0bfcdd979c16940cf3ef529018f, 8172ac4bc3af190a5257155432bf4db6e8b04e3c, 6f43036a533f9c57d21780602c4855491ea1e25f, 45d600a5144d30be8ca76db92371ba885000a75c, af42685c5c929648912de8ead91f4e9df77d7339, 90a0e4d509bea6f0f3f518f756c0229b065aa2ac, 6f5b678a1aa2cd0973c2a71585f60baa889c55dd, 5e6fdc9c670a5f2d30f7e47bc219a07c4ac1bb82, b6b46e64e210c257c9d32160e62b2d4d0c89cf02]","12","3","b6b46e64e210c257c9d32160e62b2d4d0c89cf02"
"https://github.com/AgileVentures/WebsiteOne.git","90","4","[27796c6e3d8e94f33f5e322cd9fef8d1b3b030e1, b4351769753244a20edeeb917914a0961709e8de, 59ba9b859e7781025d80e767c14edad55efe937c, e82932f13e3ef3fb0e8ffaf735bc0914b6349b81]","7","1","e82932f13e3ef3fb0e8ffaf735bc0914b6349b81"
"https://github.com/AgileVentures/WebsiteOne.git","100","4","[d30aab89c9ebaf3805edb6862d99f52044288ca2, 39ed7df10ebf37aa9641e888b01e19b5c490f30a, 83afd2f58250aa85d273589a70fb1f191224fb4e, 2412b6487578eb093ced45e648ba23d0f71fa890]","5","3","2412b6487578eb093ced45e648ba23d0f71fa890"
"https://github.com/AgileVentures/WebsiteOne.git","102","1","[83afd2f58250aa85d273589a70fb1f191224fb4e]","3","1","83afd2f58250aa85d273589a70fb1f191224fb4e"
